S/N,Difficulty level,Case ID,Enquiry,Reply,Title
10,Medium,S-20240068940,"Hi,

I am born in 1967. Currently my MA account:68.5k RA account:324k.

I would like to know how much I can received monthly when I am 65. Can you show me the three scenarios?

How much will be deducted from my RA account? Please show this as well.

For example if my cpf life premium is 100k, my RA remaining account will be 224k. Cpf life premium and RA will be received interest yearly?
Please explain to me via email.","Dear <member name>

Thank you for writing to us on 10 February 2024.

CPF LIFE is a longevity insurance annuity scheme that provides you with a monthly payout for as long as you live.

Please use our CPF LIFE Estimator to check on the estimated monthly payouts under CPF LIFE.
You can choose any of the 3 options based on your retirement lifestyle and indicate your details, such as birth year and Retirement Account (RA) balance. You can also change the RA balance to view the change in estimated monthly payout.

You will not be able to choose a specific amount to deduct from your RA as your CPF LIFE premium when you join CPF LIFE from age 65.

If you choose CPF LIFE Standard or Escalating Plan, all your RA savings will be deducted as CPF LIFE premium when you join CPF LIFE. If you choose CPF LIFE Basic Plan, about 10-20% of your RA savings will be deducted as CPF LIFE premium when you join CPF LIFE.

Please refer to our website FAQs below on joining CPF LIFE.

What are the CPF LIFE plans available and which is the right plan for me?

When do I have to choose my CPF LIFE plan? 


​​​​​​​If you chose to join CPF LIFE and start receiving your monthly payout from age 65, your CPF LIFE premium will continue to earn interest.

You can refer to our website FAQs for more information.

Does my CPF LIFE premium continue to earn interest?

What happens to the interest earned on my CPF LIFE premium?

I would be pleased to help if you require further assistance. For more information on CPF, please visit cpf.gov.sg.",Monthly Payout Amount
11,Easy,S-20240063638,"Hi, trying to find out if my dad still has a valid retirement account and can i made top up to his account. Thanks","Dear <member name>
Thank you for writing to us on 7 February 2024.
You can guide your father to check his current CPF balance, by logging in at cpf.gov.sg with his Singpass and view
in ‘my cpf’ under ‘My Statements’. He will be able to view his balances (if any) in his respective accounts.
For members aged 55 and above and do not have the Retirement Account (RA), the account will be created when they receive top-ups to the RA.
Please refer to our website FAQs on the topping up of RA.
How do I apply to make a top-up?
What is the maximum amount of top-ups I can receive?
How will the top-ups to my retirement savings be used?
I would be pleased to help if you require further assistance. For more information on CPF, please visit cpf.gov.sg.",Valid Retirement Account
12,Hard,S-20240035284,"Appreciate you read in detail & answer accordingly. DO NOT ask me to read the website or provide a general answer.

Is CPF LIFE like an annuity plan?
=> A BRS/FRS/EHS lump sum transfer from OA & SA into RA at age 55. And in the next 10 years, it will generate compound interest. At age 65, citizen can decide to start the annuity plan with monthly withdrawal credited to a bank account assign.

Based on this year FRS & CPF LIFE Estimator...
=> Female, born in 1969, RA $205,800
=> ""At age 65, I would like to join CPF LIFE with $305,000"" ($99,200 of compound interest for 10 yrs)
=> Based on standard plan, estimated payout is $1,540 per month.
=> Say by age 85, I would have withdraw $1540*12*20 = $369,600
=> $369,600 - $305,000 = $64,600 is the compound interest earn from the balance in the RA or CPF LIFE from age 65 to age 85.

Question:
1) What is the difference between RA & CPF LIFE account?
2) How does the annuity plan works? Eg the annual withdrawal amount is transfer from RA to CPF LIFE (payout for 12 months) with the rest left in RA to earn compound interest?
3) Say 1st yr...$1,540*12 = $18,480 transfer to CPF LIFE with $286,520 left in RA for compound interest?
4) There isn't much explanation online how RA & CPF LIFE works. As such, there are friends who had started withdrawing their CPF LIFE providing a different way a normal annuity plan works.
5) Text from friend... ""Like last year when John got his payout in May, they will take out all his money from RA but leave behind his interest from Jan to Apr 2023. They will not wipe out his interest. So when er called CPF the officer told us that this interest amount in RA will still earn interest and until a certain years when CPF think they want to increase the payout they will take out this interest & add on to the payout.""
6) the sentence above doesn't make sense for $64,600 interest as tabulated above.
7) Say 5% int of RA of $305,000 = $1525 left in RA for compound int. This amount will work out to be only $91.50 (6% of $1525) for 1st yr. There is no way it can reach $64,600 as tabulated above after 20 yrs.

In a normal annuity plan, each year the balance principal & compound interest (age 55 to 65) continue to generate compound interest until all is drawn upon. Correct me if I am wrong.

Kindly explain to make me & my friends understand better.","Dear <member name>
We refer to your enquiries 22 January 2024. Thank you for your patience.
CPF LIFE is a longevity insurance annuity scheme that provides members with a monthly payout for as long as they live.
We understand that you have used our CPF LIFE Estimator to estimate the monthly payout based on a female, born in 1969. If this member chose to join CPF LIFE Standard Plan and start her monthly payout at age 65, all her Retirement Account (RA) savings (estimated $305,000) will be used as CPF LIFE premium.
It is not an annual transfer of payout monies for the year to the CPF LIFE premium.
If the member chooses to start her monthly payout later, for example she can join CPF LIFE Standard Plan and start
her payout at age 68. All her existing RA savings at that point in time, will be used as CPF LIFE premium. When you
adjust the first slider bar in the CPF LIFE Estimator to age 68, you will be able to see the projected RA balance
($345,000) at age 68 in the second slider.
When a member who is receiving her CPF LIFE monthly payout, receives RA inflows (for example from interest earned or top-ups), the inflows may be automatically used to increase her CPF LIFE premium, so that she will receive higher CPF LIFE monthly payouts for life.

CPF LIFE premium will continue to earn the interest rate floor of 4% per annum, as well as extra interest of up to 2%
per annum on the first $60,000 of the member’s combined CPF balances.

The interest earned on the member’s CPF LIFE premium benefits her in two ways:
1. It is factored into her monthly payouts and she receives a higher payout from the start.
The interest accumulated on her CPF LIFE premium, along with the premiums of other CPF LIFE members,
ensures that she can continue receiving payouts no matter how long she lives, even if her CPF LIFE premium
balance is depleted.
2.
I would be pleased to help if you require further clarification. For more information on CPF, please visit cpf.gov.sg.",CPF Life
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
