question,answer,link
What is the Retirement Account for?,"['The savings in your Retirement Account (RA) is meant to provide you with payouts in retirement. You can start your payouts anytime from your payout eligibility age of 65.', 'Find out how your RA is created when you turn 55.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-is-the-retirement-account-for
What happens to my CPF savings when I turn 55?,"['When you turn 55, we will transfer your CPF savings, up to your Full Retirement Sum (FRS), to create your Retirement Account (RA). The savings in your RA is meant to provide you with payouts in retirement. Your Special Account (SA) savings will be transferred first, followed by your Ordinary Account (OA) savings.', 'From early 2025, the SA will be closed for members aged 55 and above to be in line with the principle that savings set aside for retirement should continue to earn long-term interest rates, while savings that can be withdrawn at any time should earn the short-term interest rate. ', 'If you have savings in SA when the SA is closed, it will be transferred to the RA, up to your FRS, so that you can receive higher retirement payouts. Once you have set aside your FRS in RA, the remaining SA savings will be transferred to the OA and can be withdrawn at any time. ', 'If you do not have enough RA savings to make up the FRS and have used your CPF savings for your property, we will use your CPF savings withdrawn for your property (including accrued interest) to meet your FRS. The maximum amount that can be used is your Basic Retirement Sum. When you sell your property, you will have to restore your RA up to your FRS with your sales proceeds.', 'It is not mandatory for you to top up your RA if you are unable to set aside your FRS. However, you may wish to top up your RA for higher monthly payouts. You can also enjoy tax relief for cash top-ups up to the FRS. After your SA is closed in early 2025, you can also opt to transfer your OA savings to the RA up to prevailing ERS to earn long-term interest rates and receive higher retirement payouts.', 'Did you know? You can use the CPF LIFE Estimator to estimate how much you need to top up to reach your desired monthly payouts.', 'If you are born in 1958 or after and wish to start your monthly payouts, there will be another transfer of your SA and/or OA savings, up to your FRS, to your RA, if you have not met your FRS.  This transfer allows you to receive higher monthly payouts.', 'Find out more about the retirement sums.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-happens-to-my-cpf-savings-when-i-turn-55
"In setting aside the Full Retirement Sum in my Retirement Account, why are my Special Account savings transferred before my Ordinary Account savings?","['The savings in your Special Account (SA) are meant for your retirement needs, while your Ordinary Account (OA) savings can be used to meet shorter-term expenditure needs such as housing. Hence, when you turn 55, SA savings are first transferred to your Retirement Account (RA) to help you set aside the retirement sum, which will eventually be streamed out as monthly payouts when you reach your payout eligibility age. ', 'Did you know? If you wish to earn higher interest on your OA savings (which earns at least 2.5% interest* per annum) and boost your monthly payouts, you can make a CPF transfer to your RA (which earns at least 4% interest* per annum), up to the current Enhanced Retirement Sum. Do note that for CPF transfers to RA, your SA savings (if any) will be transferred first followed by your OA savings.', '* Based on the current interest rate floor on Ordinary and Retirement Account monies.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/why-are-my-special-account-savings-transferred-before
Do I need to top up my Retirement Account and will I receive monthly payouts if I am unable to set aside my Full Retirement Sum?,"['It is not mandatory for you to top up your Retirement Account (RA) if you are unable to set aside your Full Retirement Sum (FRS). You can still receive monthly payouts anytime from your payout eligibility age, and the payout amount will be based on your RA savings.', 'However, you may wish to top up your RA for higher monthly payouts. You can also enjoy tax relief for cash top-ups up to the FRS.', 'Did you know? You can use the CPF LIFE Estimator to estimate how much you need to top up to reach your desired monthly payouts.', 'If you receive contributions, government grants or other refunds in your CPF accounts after 55, they will be transferred to your RA up to your FRS (or Basic Retirement Sum if you own a property) on your next withdrawal.', 'If you are born in 1958 or after and wish to start your monthly payouts, there will be another transfer of your SA and/or OA savings, up to your FRS, to your RA, if you have not met your FRS.  This transfer allows you to receive higher monthly payouts.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/do-i-need-to-top-up-my-retirement-account-and-will-i-receive
Why is there another transfer of monies from my Special Account (SA) and/or Ordinary Account (OA) to my Retirement Account (RA) before I start my monthly payouts? ,"['As Singaporeans are now working longer, CPF contributions made after age 55 become an essential part of their retirement savings. The increase in senior worker CPF contribution rates further reinforces this. This additional transfer will help to boost your retirement savings and provide you with higher monthly payouts.', 'If you have already set aside your Full Retirement Sum in cash in your Retirement Account, the transfer will not occur.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/why-is-there-another-transfer-of-monies-from-sa-oa-to-ra-before
Will my CPF savings withdrawn under the CPF Investment Scheme be used to make up my Full Retirement Sum when I turn 55?,"['No, your CPF savings withdrawn under the CPF Investment Scheme will not be used to make up your Full Retirement Sum (FRS). Your FRS is made up using your Special Account (SA) and Ordinary Account (OA) savings.', 'Find out how your FRS is set aside when you turn 55.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/will-my-cpf-savings-withdrawn-under-cpfis-be-used-to-make-up-frs
"What are the retirement sums - Basic Retirement Sum (BRS), Full Retirement Sum (FRS) and Enhanced Retirement Sum (ERS)?","['Planning for your retirement is easier with the retirement sums – Basic Retirement Sum (BRS), Full Retirement Sum (FRS), and Enhanced Retirement Sum (ERS). They provide a guide on the CPF savings you need to reach your desired monthly payouts in retirement. ', 'The BRS is meant to provide you with monthly payouts in retirement to cover basic living needs, excluding rental expenses. ', 'The FRS is two times of BRS and can provide you with higher monthly payouts that also cover rental expenses. That is why when you turn 55, your CPF savings up to your FRS is set aside in your Retirement Account (RA) to provide you with monthly payouts in retirement.', 'If you own a property in Singapore with remaining lease that lasts you until you are 95 or older, you have the flexibility to meet your FRS with a mixture of property (up to half your FRS) and cash, and can apply to withdraw part of your RA savings down to your BRS using your property.', 'If you wish to receive even higher payouts for your desired retirement lifestyle, you can choose to set aside more by making a top-up, up to the current ERS. The ERS is the maximum amount that you can top up to your RA, and is increased yearly for those who wish to receive higher payouts. From 2025, the ERS will be raised from 3 times the BRS to 4 times to enable members to voluntarily commit more savings for even higher payouts. To find out how much you can top up, log in to your Retirement dashboard.', 'See what are the retirement sums applicable to you.', 'Ultimately, how much you set aside depends on your CPF balances and desired monthly payouts. It’s important to plan ahead by assessing how much payouts you need to meet your expenses in retirement. Find out using the CPF LIFE Estimator.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-are-the-retirement-sums-brs-frs-ers-
"What are the Basic Retirement Sum, Full Retirement Sum and Enhanced Retirement Sum applicable to me? ","['The Basic Retirement Sum (BRS), Full Retirement Sum (FRS) and Enhanced Retirement Sum (ERS) provide a guide on the CPF savings you need to set aside to receive your desired monthly payouts in retirement. Read on to find out what are the retirement sums applicable to you.', 'Basic Retirement Sum and Full Retirement Sum', 'Your Basic Retirement Sum (BRS) and Full Retirement Sum (FRS) are dependent on when you turn 55 and will remain the same for the rest of your life.', 'To help you better plan for your future, here are the retirement sums that are applicable to members who turn 55 from 2024 to 2027:', '*The FRS is set at 2 times of the BRS.', 'See the Full Retirement Sums since 1995 (PDF, 35.1KB). You can also find out how the retirement sums are determined and why the retirement sums are increasing yearly.', 'Enhanced Retirement Sum', 'If you are 55 and above, you can choose to top up your Retirement Account (RA) up to the current Enhanced Retirement Sum (ERS) for higher monthly payouts, regardless of when you turn 55. Here are the ERS amounts for 2024 to 2027:', 'The ERS is currently set at 3 times of the BRS. From 2025, the ERS will be raised to 4 times the BRS to provide members an option to voluntarily top up more to their RA in order to receive even higher monthly payouts in retirement.', 'As the ERS is increased every January, you can continue to make further top-ups to your RA every subsequent year.', 'Did you know? You can find out how much you can top up by logging in to your Retirement dashboard.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-are-the-retirement-sums-applicable-to-me-
How are the Basic Retirement Sum and Full Retirement Sum determined for each cohort?,"[""The Basic Retirement Sum (BRS) takes reference from a person's expenditure from a lower-middle retiree household, according to the latest Household Expenditure Survey (HES). It assumes that the member owns a property that lasts him up to 95 and he does not need to pay rent in retirement."", 'The Full Retirement Sum (FRS) is set at two times of the BRS.', 'The BRS or FRS you need to set aside depends on when you turn 55 and is fixed for the rest of your life.', 'Find out why the retirement sums are adjusted yearly for successive cohorts.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/how-are-the-retirement-sums-determined-
Does the interest earned on my retirement savings form part of the retirement sum that I am required to set aside at age 55?,"['No, the interest earned on your retirement savings does not form part of the retirement sum that you are required to set aside at 55.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/does-the-interest-earned-on-my-retirement-savings-form-part-of
Why are the retirement sums increasing yearly?,"['The increase in retirement sums is due to the following:', ""However, if you are already 55, the yearly increase won't affect you. The retirement sum you need to set aside depends on when you turn 55 and is fixed for the rest of your life."", ""It's important to keep in mind that the amount needed for retirement has increased over the years. For example, if the Full Retirement Sum had remained unchanged from $30,000 when it was first introduced in 1987 (previously known as the Minimum Sum), it would only provide a monthly payout of about $300 today. This amount would not be enough to cover daily living expenses and rent. "", 'Overall, the goal of increasing retirement savings is to help individuals build a financial foundation that will enable them to support themselves through retirement.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/why-are-the-retirement-sums-increasing-yearly
How can I find more information to better understand the CPF rules which will affect me when I turn 55?,"['You will receive a letter from CPF Board a few months before your 55th birthday, providing you with more information.', 'The letter will give you details on how to make an appointment to attend the CPF Retirement Planning Service (CRPS), which is a one-to-one session where you will get personalised information about the CPF rules that will affect you when you turn 55.', 'If you prefer, you can also view your personalised retirement planner online, which is an available option starting from six months before your 55th birthday.', 'Finally, you can attend our talks to learn more about planning for your retirement.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/how-can-i-find-more-information-to-better-understand-cpf-rules
What is my payout eligibility age?,"['Your payout eligibility age is the age where you can start receiving your retirement monthly payouts.', 'If you were born in 1954 or later, your payout eligibility age is 65. This means that you can start receiving your monthly payouts any time between the ages of 65 and 70.', 'If you were born before 1954, the table below shows your payout eligibility age.', 'Please note that your payout eligibility age is not linked to your retirement or re-employment age. You can still receive payouts from your payout eligibility age even if the retirement age or re-employment age is raised.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-is-my-payout-eligibility-age
Is the payout eligibility age linked to the retirement/re-employment ages?,"['The CPF payout eligibility age is not linked to either the retirement or the re-employment age.', 'Today, you can start your CPF payouts at any time from age 65. There is no link to the current retirement age of 63* or the re-employment age of 68. Even if the retirement age and the re-employment age are raised, the CPF payout eligibility age would remain unchanged.', '* The current retirement age and re-employment age of 63 and 68 will be raised to 64 and 69 respectively from 1 July 2026. ', 'For more information: ', 'Information on the CPF Payout Eligibility Age', 'Information on the retirement age', 'Information on re-employment age', '(source: Factually website) ']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/is-the-payout-eligibility-age-linked-to-the-retirement-re-employ
Why does CPF Board not start my payouts automatically at 65?,"['We understand that every member has unique retirement goals and needs. That is why we do not assume that everyone wants to start their payouts at 65.', 'Your CPF savings earn risk-free interest rates* of up to 6% per annum, which means the longer you wait to start your payouts, the more your retirement savings will grow. This increase in savings will result in higher monthly payouts under CPF LIFE.', 'Starting payouts automatically at 65 means denying members this option.', 'That is why we always encourage our members to instruct us when they want to start their payouts, as they would be the best judge of their own circumstances.', ""Here's an interesting fact: For every year that you defer your CPF LIFE payouts, your monthly payout amount increases by up to 7%. This means that if you defer for 5 years, your monthly payout could increase by up to 35%. Hence, weigh your options and make the decision that is best for you and your retirement goals."", '* Based on the current 4% interest rate floor on Special and Retirement Account monies.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/why-doesnt-cpf-board-start-my-payouts-automatically
What will happen if I do not instruct CPF Board to start my monthly payouts?,"['We encourage you to use the personalised Plan my monthly payouts service to help you decide what best fits your retirement needs, and to submit your instructions. If we do not receive any instructions from you, we will start your payouts automatically when you reach 70, and your monthly payouts will be paid to the bank account provided under your Account settings.', 'If you are born in 1958 or after and have not met your FRS, there will be another transfer of your Special Account (SA) and/or Ordinary Account (OA) savings to your Retirement Account (RA) to set aside your Full Retirement Sum (FRS) in cash. You can use the Plan my monthly payouts service to know if this transfer applies to you and how much will be transferred to your RA. This service is applicable to you three months before you reach 65.', 'Once your monthly payout starts, please also note that any remaining amount from the additional withdrawable amount of up to 20% of your retirement savings will be transferred to your OA for your future withdrawals.', 'Note: If you belong to the small group of members who have previously joined CPF LIFE before reaching age 65, your payouts will start automatically at 65, or the age (up to 70) you have chosen to start your payouts.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-will-happen-if-i-do-not-instruct-cpf-to-start-my-monthly
Who is eligible for the CPF Retirement Planning Service and how do I make an appointment?,"['CPF members who are reaching 55, as well as members approaching their payout eligibility age (currently age 65), can make an appointment via cpf.gov.sg/CRPSAppt to attend the CPF Retirement Planning Service.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/how-do-i-make-an-appointment-if-i-am-eligible-for-crps
What is the CPF Retirement Planning Service about?,"['The CPF Retirement Planning Service (CRPS) is part of the Board’s efforts to help CPF members understand our policies and enable them to make informed decisions about their CPF savings in retirement.', 'Find out if you are eligible and how you can make an appointment.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-is-crps-about
What is the current Enhanced Retirement Sum?,"['The current Enhanced Retirement Sum (ERS) for 2024 is $308,700.', 'The ERS is increased yearly. For members 55 and above who wish to have higher monthly payouts in retirement, they can top up their Retirement Account up to the current ERS. To find out how much you can top up, log in to your Retirement dashboard.', 'From 2025, the ERS will be raised from 3 times the BRS to 4 times to enable members to voluntarily commit more savings for even higher payouts.', 'Here are the ERS amounts for 2024 to 2027 to enable you to plan your top-ups:']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-is-the-current-enhanced-retirement-sum
How does the closure of my Special Account affect my retirement payouts? ,"['If you are receiving monthly payouts, your payouts will increase if some or all of your Special Account (SA) savings are transferred to your Retirement Account (RA) when your SA is closed. You will be notified to check your monthly payouts after the transfer and closure of your SA in early 2025.', 'You can also transfer your Ordinary Account savings to your RA, up to the prevailing Enhanced Retirement Sum, to increase your monthly payouts.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-does-the-closure-of-my-special-account-affect-my-retirement-payouts
What is CPF LIFE?,"['The CPF Lifelong Income For The Elderly (CPF LIFE) is a national longevity insurance annuity scheme that insures you against running out of your retirement savings, by providing you with a monthly payout no matter how long you live.', ""Unlike investment products which are meant to grow our wealth, insurance products, like CPF LIFE, help to protect us against life's uncertainties."", 'With CPF LIFE, you can have peace of mind knowing that you will have a steady stream of lifelong income to support your retirement needs. This way, you can enjoy your golden years without having to worry about financial uncertainties, no matter what age you live to.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-is-cpf-life-
Why do I need CPF LIFE?,"['Nobody can predict how long anyone will actually live. Therefore, planning how much of your retirement savings to use for living expenses is a dilemma – Spend too much and you might not have enough if you live longer than you thought; spend too little and you might deprive yourself from fully enjoying your hard-earned savings.', 'With increasing advances in technology and healthcare, you are likely to live longer than your grandparents’ or parents’ generation. Therefore, you cannot predict how long you will live by looking at how long your parents or grandparents live. Otherwise, you may underestimate your lifespan and find your savings depleted with many more years to live when you are no longer able to work. ', 'With CPF LIFE, you do not need to worry about being caught in such a situation but have the assurance of having a steady stream of income, no matter what age you live to.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/why-do-i-need-cpf-life-
Do I have to join CPF LIFE?,"['You will be automatically included if you are a Singapore Citizen or Permanent Resident born on 1 January 1958 and after*, and have at least $60,000 in your CPF retirement savings when you start your monthly payouts. ', '*If you are born between 1 January 1958 and 30 April 1961, and had at least $40,000 in your Retirement Account when you reached 55, you would have to join CPF LIFE.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/do-i-have-to-join-cpf-life-
Can I be exempted from CPF LIFE?,"['If you are automatically included under CPF LIFE, you cannot be exempted from CPF LIFE unless you have a pension or commercial annuity that pays the same or higher monthly payout as CPF LIFE. For more information, please refer to the conditions for withdrawing your retirement savings.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-be-exempted-from-cpf-life
Can I choose to join CPF LIFE if it is not mandatory for me?,"['Yes, you can choose to join CPF LIFE as long as you are a Singapore Citizen or Permanent Resident, at any time from 65 to one month before you reach 80.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-choose-to-join-cpf-life-if-it-is-not-mandatory-for-me-
How much CPF savings do I need to join CPF LIFE?,"['There is no minimum amount of CPF savings required for joining CPF LIFE. However, it is important to consider how much savings you have in your Retirement Account (RA) as this will determine how much monthly payouts you will receive.', 'If you join CPF LIFE with a low RA balance (which is used to pay for the premium for your CPF LIFE plan), you may receive a low monthly payout which may not be enough to support your retirement needs. You can consider topping up your RA and use the CPF LIFE Estimator to estimate your monthly payout to see if it is worthwhile doing so before you join CPF LIFE.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-much-cpf-savings-do-i-need-to-join-cpf-life-
What is the maximum amount of CPF savings that I can use to join CPF LIFE?,"['The maximum amount of CPF savings to join CPF LIFE is the current Enhanced Retirement Sum (ERS), plus any accumulated interest in your Retirement Account.', 'Find out more about the different retirement sums.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-is-the-maximum-amount-of-cpf-savings-that-i-can-use-to-join
What are the CPF LIFE plans available and which is the right plan for me?,"['There are three CPF LIFE plans to choose from – Escalating Plan, Standard Plan and Basic Plan.', 'Do plan for your retirement with inflation in mind. For example, if your monthly expenditure is $1,000 today, you may need about $1,500 monthly payouts to maintain the same lifestyle in 20 years’ time. Choose your CPF LIFE plan based on how willing you are to adjust your retirement lifestyle, as things become more expensive.', 'If you are worried about the rising costs of living, you can consider the Escalating Plan which provides monthly payouts that start lower initially but grow by 2% every year for life. The growing payouts protects you against inflation and generally helps you maintain your retirement lifestyle. Read more about how the CPF LIFE Escalating Plan works.', ""If you are willing to live a more modest lifestyle and buy less as years pass, you may find the Standard Plan which provides steady payouts suitable for you. Payouts do not grow to protect you against inflation so you'll have to lower your lifestyle to buy less as things get more expensive in the years ahead. Payouts start higher than the Escalating Plan, but will eventually become lower than the Escalating Plan. Read more about how the CPF LIFE Standard Plan works."", 'If you don’t mind starting with lower monthly payouts which will be progressively lower later on, then the Basic Plan is good enough. The Basic Plan is a legacy plan carried over from the time CPF LIFE was first introduced in 2009. Compared to the Standard Plan which gives higher and steady monthly payouts, Basic Plan payouts are lower and will get progressively lower when your combined CPF balances eventually fall below $60,000. Read more about how the CPF LIFE Basic Plan works.', 'In all three plans, you will enjoy payouts no matter how long you live, your premiums will enjoy risk-free CPF interest rates, and any remaining CPF LIFE premium balance will be given to your beneficiaries, together with your remaining CPF savings when you pass on. In other words, you and your loved ones will always get back the premium that you have put into CPF LIFE.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-are-the-cpf-life-plans-available
How is CPF LIFE attractive?,['CPF LIFE is an attractive retirement payout scheme for several reasons:'],https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-is-cpf-life-attractive-
Are CPF LIFE payouts guaranteed?,"['CPF LIFE payouts are not guaranteed, but they are designed to be stable. Any adjustments to CPF LIFE payouts are expected to be small and gradual. CPF LIFE is a self-sustaining insurance scheme where payouts are matched to premiums. Guaranteeing a minimum payout would require higher premiums.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/are-cpf-life-payouts-guaranteed-
How does the CPF LIFE Escalating Plan work?,"[""The CPF LIFE Escalating Plan is a suitable option if you want to protect your retirement income from rising prices. Under this plan you'll receive payouts that increase by 2% each year. Although the payouts start lower, they will eventually become higher than the Standard Plan and Basic Plan payouts. The Escalating Plan gives you peace of mind knowing that you can generally maintain your standard of living even as the cost of living goes up during your retirement years."", 'For example, if you start with a monthly payout of $1,000 when you turn 65, it will increase by 2% each year and reach around $1,500 when you are 85. The 2% increase takes place every year in the same month that you receive your first payout.', 'Under this plan, all your Retirement Account savings will be deducted as CPF LIFE premium when you join CPF LIFE, which can be anytime from 65 to 70.', 'Your CPF LIFE monthly payouts will first be paid from your CPF LIFE premium. When your CPF LIFE premium is depleted, you will continue to receive the monthly payouts from the interest that you and other CPF LIFE members have accumulated, no matter how long you live.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-does-the-cpf-life-escalating-plan-work-
Why is the increase in CPF LIFE Escalating Plan payouts fixed at 2% per year and not matched to actual inflation rate?,"['CPF LIFE Escalating Plan payouts are not specifically matched to actual inflation in each year so that the increase in payouts is predictable and stable.', 'By fixing the increase at 2% per year, CPF LIFE can provide some protection against inflation while keeping premiums at a more affordable level. Additionally, the 2% increase is meant to be a conservative estimate of the average inflation rate over time, which can vary from year to year.']",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/why-is-the-increase-in-cpf-life-escalating-plan-payouts-fixed-at
